Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PSZ-AC:1:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:2:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:3:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:4:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:5:Air System Total Cooling Energy [J](TimeStep) 
 08/01  00:15:00,25.85,30.00011972543129,30.000081194317646,29.999570873721284,30.00009322442537,30.00014720373375,23.070648707821669,30.0,30.0,30.0,30.0,30.0,0.0,1282674.9130171869,51081.88355940885,219881.77555522946,80191.01451388578,351592.544729471 
 08/01  00:30:00,25.6,30.000402471894288,30.003342865129864,29.999572949050877,30.00009151456939,30.00014293913099,22.867984214066266,30.0,30.0,30.0,30.0,30.0,0.0,504244.7370545011,0.0,206989.11386994335,36508.65014644227,318813.5100329245 
 08/01  00:45:00,25.35,30.00040367276968,29.98908388420187,29.99957495514118,29.99765457437724,30.000129798909915,22.66866724559662,30.0,30.0,30.0,30.0,30.0,0.0,463837.6886998711,0.0,195803.75203232096,0.0,287720.31855142666 
 08/01  01:00:00,25.1,30.000366444027248,29.9573306249547,29.999578093429688,29.978409511841816,30.0001178029135,22.478202134590533,30.0,30.0,30.0,30.0,30.0,0.0,423027.93531932306,0.0,185628.3639971891,0.0,257829.25469352274 
 08/01  01:15:00,25.050000000000006,30.000343583927529,29.923941821824707,29.999602926825856,29.95120299564764,30.00011707951075,22.301102913802486,30.0,30.0,30.0,30.0,30.0,0.0,410505.912402649,0.0,174178.97822179259,0.0,236795.93402887806 
 08/01  01:30:00,25.0,30.0003253842491,29.895335617511589,29.99962538000692,29.92420072498705,30.000117392528229,22.11367889003077,30.0,30.0,30.0,30.0,30.0,0.0,397536.6608013915,0.0,163864.4172963254,0.0,216434.92087506524 
 08/01  01:45:00,24.949999999999997,30.00031035642638,29.870036449037138,29.999657268232665,29.899212288334075,30.000116905728289,21.894854818225356,30.0,30.0,30.0,30.0,30.0,0.0,384031.6362721378,0.0,152603.37148291898,0.0,196815.43196411778 
 08/01  02:00:00,24.9,30.00029753899388,29.845367518319244,29.999685160273186,29.875055086775669,30.000115518928529,21.642236893038118,30.0,30.0,30.0,30.0,30.0,0.0,370047.5164000472,0.0,141582.83203532606,0.0,177881.79783315259 
 08/01  02:15:00,24.824999999999997,30.000253743942474,29.82032435524181,29.99969809460368,29.8506314608052,30.00010038647834,21.37189762929947,30.0,30.0,30.0,30.0,30.0,0.0,350009.48262027508,0.0,131326.69357630536,0.0,159107.20470010313 
 08/01  02:30:00,24.75,30.0002107625105,29.79503230343194,29.999721129804234,29.825845357971568,30.000085269201756,21.11226595148236,30.0,30.0,30.0,30.0,30.0,0.0,329490.40982396926,0.0,120504.16506448326,0.0,141740.51976026599 
 08/01  02:45:00,24.675000000000006,30.00017264842046,29.76980816337487,29.999742847762403,29.800984559475539,30.000070527288956,20.878919996323288,30.0,30.0,30.0,30.0,30.0,0.0,308662.59211684009,0.0,109551.25406918916,0.0,123717.30199644967 
 08/01  03:00:00,24.6,30.00013953907061,29.744790089458819,29.99976361183196,29.77625437188133,30.000058113029647,20.670103235978379,30.0,30.0,30.0,30.0,30.0,0.0,287594.06775515407,0.0,98828.56128612778,0.0,105523.70402544635 
 08/01  03:15:00,24.550000000000006,30.00012758717356,29.721239035141396,29.999786858369626,29.75293638807791,30.000053508805789,20.480305025925224,30.0,30.0,30.0,30.0,30.0,0.0,270888.3989367568,0.0,89001.8608938131,0.0,89882.23486476638 
 08/01  03:30:00,24.5,30.00011969145676,29.698982879011728,29.999808865362959,29.730860627719819,30.00004931210671,20.304183784030959,30.0,30.0,30.0,30.0,30.0,0.0,254235.09531468393,0.0,79520.22799129108,0.0,73310.78937992594 
 08/01  03:45:00,24.449999999999997,30.000113114980317,29.67734626283674,29.999828833722029,29.709352079372875,30.000045652212216,20.136170421082058,30.0,30.0,30.0,30.0,30.0,0.0,237672.1033508226,0.0,70558.31057598503,0.0,56446.391322809555 
 08/01  04:00:00,24.4,30.000107259592057,29.655895096214608,29.999851157392777,29.687922134471149,30.000042252488897,19.962585820627774,30.0,30.0,30.0,30.0,30.0,0.0,221263.82527762175,0.0,61633.71240307112,0.0,39679.251871402026 
 08/01  04:15:00,24.4,30.00009999144092,29.636277958671426,29.999874732495586,29.668313485479556,30.000038558789816,19.782512199710653,30.0,30.0,30.0,30.0,30.0,0.0,212541.79044052983,0.0,52281.53268676403,0.0,25643.37510008641 
 08/01  04:30:00,24.4,30.000093205558416,29.61836274885769,29.99989697748485,29.650425253187888,30.000034999357337,19.615161894730514,30.0,30.0,30.0,30.0,30.0,0.0,204150.23599218444,0.0,43191.413080913546,0.0,12166.298164707385 
 08/01  04:45:00,24.4,30.00008719024556,29.601272422403239,29.99991802845269,29.633364847353115,29.999287509585235,19.476829041908745,30.0,30.0,30.0,30.0,30.0,0.0,196345.6644991763,0.0,34415.61116965338,0.0,0.0 
 08/01  05:00:00,24.4,30.000080140219269,29.58451451171342,29.999938120141324,29.61663267070646,29.990860334736987,19.368713330360394,30.0,30.0,30.0,30.0,30.0,0.0,187169.95331957175,0.0,26047.192834352394,0.0,0.0 
 08/01  05:15:00,24.275,30.00005810091542,29.561991621691584,29.999940354115979,29.5942696624617,29.970625372139528,19.27078272923741,30.0,30.0,30.0,30.0,30.0,0.0,158504.66152553087,0.0,15736.208803229823,0.0,0.0 
 08/01  05:30:00,24.15,30.00003674320093,29.53458457217448,29.999969819782984,29.56718022532946,29.943246700747819,19.170286076299058,30.0,30.0,30.0,30.0,30.0,0.0,129941.86564735809,0.0,7836.822207226082,0.0,0.0 
 08/01  05:45:00,24.025,30.000017902963788,29.505497641143668,30.000605516249317,29.53852062440852,29.91364945417396,19.06408808988193,30.0,30.0,30.0,30.0,30.0,0.0,101579.44894492605,0.0,0.0,0.0,0.0 
 08/01  06:00:00,23.9,30.000000893539178,29.483774608583198,29.999778656441437,29.539147021153626,29.8899369977455,19.057671170636657,30.0,30.0,30.0,30.0,30.0,0.0,75061.61387365175,0.0,81962.80928348279,0.0,0.0 
 08/01  06:15:00,24.174999999999998,30.00001342054291,29.49577169380652,29.99977316235178,29.56950270639728,29.89726475141687,19.36873256658554,30.0,30.0,30.0,30.0,30.0,0.0,115656.65068510184,0.0,146653.17299589946,0.0,0.0 
 08/01  06:30:00,24.45,30.00001931272761,29.512829301051896,29.99978010526473,29.596308487585295,29.909622841500565,19.90531831612582,30.0,30.0,30.0,30.0,30.0,0.0,159426.06350757663,0.0,213719.61395056285,0.0,0.0 
 08/01  06:45:00,24.725,30.000021495519805,29.538645713868584,29.999762958046046,29.630549860196625,29.93013145444836,20.650955139595849,30.0,30.0,30.0,30.0,30.0,0.0,208363.81680296869,0.0,317417.7455230147,0.0,0.0 
