Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PSZ-AC:1:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:2:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:3:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:4:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:5:Air System Total Cooling Energy [J](TimeStep) 
 08/01  00:15:00,25.85,22.291777480816206,22.6602503318146,21.009704927497216,21.462652092737764,20.597969223779825,22.926816931787739,22.41,22.569999999999998,20.979999999999998,21.049999999999998,20.11,0.0,1471553.2970248578,3071567.8297143306,2385816.177924521,5626549.755508056,4783344.835658235 
 08/01  00:30:00,25.6,23.021555937999588,21.67610500325215,22.477948415765718,21.07377071651957,22.70926127625016,22.71970193965111,24.870000000000006,21.510000000000006,23.170000000000007,21.040000000000004,24.230000000000005,0.0,0.0,4689572.609229668,0.0,5418968.652355762,0.0 
 08/01  00:45:00,25.35,23.0589088339172,22.50277905262038,22.800119137930765,22.525592940289714,22.21226863903847,22.51933132002727,23.060000000000004,22.6,24.440000000000006,23.030000000000006,22.190000000000006,0.0,1317351.5199565483,1584419.259286041,0.0,467007.60199099898,1903280.0129005577 
 08/01  01:00:00,25.1,21.181979733043563,23.346199238000268,22.440862291026833,20.672278652327735,23.09038736975308,22.248646855574454,20.93,24.85,22.490000000000003,20.150000000000003,23.27,0.0,6091744.7750010299,0.0,761678.5470651863,5383271.386930662,680341.4307417866 
 08/01  01:15:00,25.050000000000006,21.03066027883383,23.64774256622632,22.252962201368037,21.575515186494309,23.728356269269736,22.123263317711158,21.019999999999997,23.78,22.25,21.629999999999997,24.03,0.0,5347925.616493144,347609.17987735589,896794.9211479803,2880108.9086483747,283589.11833295409 
 08/01  01:30:00,25.0,20.991141910381584,23.97679612113742,20.80525309958634,22.696692879674456,22.73389943138139,21.933154845617005,20.99,24.46,20.7,24.53,22.69,0.0,4670300.002811228,0.0,2570960.4831097319,0.0,1992558.0372800243 
 08/01  01:45:00,24.949999999999997,22.28384664574339,21.483211372890968,22.336780257681509,21.685645512262089,23.753691893138006,21.71774547741304,24.920000000000039,20.220000000000029,24.060000000000039,21.630000000000029,24.170000000000039,0.0,0.0,7180459.3573190639,0.0,3392183.8452296515,132496.38099688394 
 08/01  02:00:00,24.9,22.974051631023653,22.744091060542809,22.68294236390258,22.6208303901589,21.093430767735059,21.47468266956352,24.259999999999999,23.08,24.849999999999999,22.81,20.729999999999998,0.0,0.0,371345.9790276744,0.0,855156.9806128829,4302288.281736352 
 08/01  02:15:00,24.824999999999997,20.949000549527896,22.798707067031168,21.409008221379815,20.939072784124,21.98480480397699,21.217694253848618,20.660000000000005,22.800000000000006,21.430000000000005,20.72,22.02,0.0,7127293.7642448269,1374470.018896521,1396340.6262403499,4423074.357137996,1917264.794752804 
 08/01  02:30:00,24.75,20.065078086054663,21.12751703759912,22.50633235397798,22.33673778269856,22.93756126188298,20.871354475933683,20.04,20.72,23.900000000000003,24.72,23.14,0.0,7349716.5493712,5291177.499453391,0.0,0.0,651788.5367962027 
 08/01  02:45:00,24.675000000000006,21.52086826614213,22.158869764028048,23.22936999707309,21.984414535827729,23.53206887935103,20.622880807563495,21.93,22.510000000000006,25.0,21.93,23.54,0.0,1166121.1026287673,966310.5631588352,0.0,3097035.559499792,708900.528808733 
 08/01  03:00:00,24.6,22.440551962645658,22.286292416880625,20.5196980035539,20.907711788885526,21.525117427875583,20.45504723123458,22.92,22.289999999999997,20.17,20.8,21.37,0.0,330845.74691283717,1746372.2174495373,2446554.774088105,4951290.1352708269,2999104.1599331309 
 08/01  03:15:00,24.550000000000006,22.95348760288363,22.77077741358238,22.229004399904214,20.239058642884776,22.669649526641988,20.28757829149839,24.319999999999998,22.869999999999999,24.309999999999996,20.11,22.88,0.0,0.0,904770.930826595,0.0,6282813.628414559,757201.2457992809 
 08/01  03:30:00,24.5,22.102083332408346,23.3522376711147,20.509530381108598,21.043933769481546,23.52383095052995,20.109099241947879,22.08,23.91,20.46,21.09,24.020000000000004,0.0,3362815.399406523,0.0,1705093.7516671923,3133066.0951966478,113730.56861530099 
 08/01  03:45:00,24.449999999999997,22.923038531577949,23.667796830392317,21.764589442482309,22.340131976451816,20.50642076669035,19.937353408626057,24.070000000000044,24.55000000000004,21.970000000000036,23.100000000000035,20.04000000000003,0.0,0.0,0.0,543483.9986174663,0.0,4792955.708349431 
 08/01  04:00:00,24.4,23.243940069709358,23.534648729765285,20.23049301446099,22.92377443158218,20.244067769847225,19.765086906688305,23.38,23.53,20.17,24.39,20.23,0.0,341125.3204790305,787212.9198076878,2490910.447205223,0.0,4381117.260226406 
 08/01  04:15:00,24.4,22.21180014551576,23.144420091537215,21.912481450957296,23.365874550569456,22.075911490416357,19.582687631326896,22.22,23.13,23.79,24.130000000000004,22.59,0.0,3594303.0649628115,1543519.4814611264,0.0,0.0,540603.1327911344 
 08/01  04:30:00,24.4,21.046835222370477,21.836849700874077,20.939334875911468,23.615438425426157,23.05590316459707,19.418914481486426,20.940000000000006,21.66,20.940000000000006,24.050000000000006,24.410000000000005,0.0,5464522.515830848,3557699.959650361,1094252.4760377687,0.0,0.0 
 08/01  04:45:00,24.4,21.069382149642377,22.77966975322161,21.337267539056457,23.866914053772363,20.987472945618675,19.218634450429286,21.07,24.82,21.34,24.3,20.620000000000006,0.0,4329531.363712713,0.0,1095104.971723577,0.0,3956146.025495523 
 08/01  05:00:00,24.4,22.21378413679526,21.32417195361056,21.86324171461774,23.32544860284637,22.58406041033644,19.13836926051734,23.67,21.1,21.94,23.31,23.27,0.0,0.0,4506972.7603611689,504854.3008692884,1381079.337007967,74350.67137654778 
 08/01  05:15:00,24.275,21.341561224436548,22.104450643339186,21.86987794670069,23.631233874386,23.676664028478429,19.00331205684929,21.22,22.28,21.87,23.72,24.16,0.0,5113460.204007693,1399486.790666649,677889.2732112522,343222.6039783438,0.0 
 08/01  05:30:00,24.15,20.525409509088836,22.9733938688639,22.466827775334197,22.27421808970035,22.248492839032879,18.895672300807346,20.49,24.81,24.02,22.13,22.18,0.0,6117634.788798231,0.0,0.0,3757743.2783785245,2608097.315968953 
 08/01  05:45:00,24.025,21.984236536594474,20.88214922926321,20.77819178840139,21.269881239689015,23.17022317068237,18.811215330650986,24.949999999999997,20.309999999999996,20.69,21.149999999999996,23.399999999999996,0.0,0.0,5637444.46067238,1493403.1152162038,4768306.208791155,367677.0359176234 
 08/01  06:00:00,23.9,22.677754998660029,20.591915480354026,21.715181408898837,22.547280586471744,22.413800376617816,18.77585850638712,24.04,20.54,21.810000000000004,24.640000000000005,22.38,0.0,0.0,5409590.317424157,575342.9483135272,0.0,1770252.5568927229 
 08/01  06:15:00,24.174999999999998,21.532222677406545,21.42687687805408,21.227974227793877,23.129079874245919,20.936023610195666,18.992162117734407,21.48,21.51,21.22,24.83,20.84,0.0,4537931.876178803,2302986.208998845,1349683.7441378688,0.0,3583320.167171117 
 08/01  06:30:00,24.45,22.495677254209249,21.88552269238508,22.398880554141696,22.307768704179958,21.85558850799412,19.505496754955396,24.259999999999999,21.93,24.48,22.25,21.95,0.0,0.0,1679782.755919313,0.0,2925424.847711493,1504575.5812697749 
 08/01  06:45:00,24.725,21.60681478236976,22.69790080373478,20.622080067178687,22.745292398425158,20.15055580691958,20.258549383110315,21.58,23.04,20.530000000000006,22.78,20.0,0.0,4049659.6720627539,288886.35244067179,1862098.8090511803,1295985.343109416,4215156.094802339 
 08/01  07:00:00,25.0,22.356883305863954,20.711947522269683,21.94338417958836,20.900581540192037,20.042520533610558,21.191976501680469,22.5,20.27,22.13,20.56,20.04,0.0,1193698.5770564224,5122285.710876067,738130.0508606806,5202591.046887655,3988129.101873706 
 08/01  07:15:00,25.825,22.653368581222624,21.027074645850186,22.239330197567445,22.08577875562107,22.1251171096899,23.004885242789827,22.66,21.07,22.24,22.440000000000006,24.89,0.0,1791403.8227409744,3436816.52704427,930539.7415757267,1077802.0304490524,0.0 
 08/01  07:30:00,26.65,23.387393749054817,22.433327051016187,20.525732764624274,23.050351447370937,23.175895193669306,24.232306157886908,24.90999999999999,23.349999999999996,20.359999999999997,23.959999999999999,23.959999999999999,0.0,0.0,0.0,3155252.9429974488,0.0,0.0 
