Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PSZ-AC:1:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:2:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:3:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:4:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:5:Air System Total Cooling Energy [J](TimeStep) 
 08/01  00:15:00,25.85,29.440118979246994,29.440072071324864,26.572577867298319,29.437974875397936,29.440095540588957,22.991540100267306,29.44,29.44,29.44,29.44,29.44,0.0,1166303.3974039632,423977.03341733905,0.0,0.0,330125.40530033866 
 08/01  00:30:00,25.6,29.440099626624744,29.44007138059433,26.568046701345698,29.433636956544114,29.440094641604639,22.790187948171178,29.44,29.44,29.44,29.44,29.44,0.0,556250.1178368095,401601.54654410827,0.0,0.0,315043.1052447678 
 08/01  00:45:00,25.35,29.44008871153896,29.440068530418956,26.56381047626719,29.42757799840666,29.44009140549689,22.592260423151666,29.44,29.44,29.44,29.44,29.44,0.0,548249.0694480034,379599.21823734688,0.0,0.0,301307.8707274823 
 08/01  01:00:00,25.1,29.440081854540016,29.440064813959955,26.560377482055736,29.420553878905879,29.440087248659368,22.402992505387485,29.44,29.44,29.44,29.44,29.44,0.0,540197.4440314288,359227.7690554376,0.0,0.0,288870.2576589937 
 08/01  01:15:00,25.050000000000006,29.440079731079434,29.44006283079487,26.55718499135395,29.41574298860671,29.440084884543674,22.22673250117833,29.44,29.44,29.44,29.44,29.44,0.0,554160.1966078139,352836.46551653728,0.0,0.0,283782.09258140446 
 08/01  01:30:00,25.0,29.440079872334427,29.44006166040658,26.553793324876737,29.412736617775289,29.440083433236575,22.04008581679703,29.44,29.44,29.44,29.44,29.44,0.0,567799.4582231061,346363.56208975988,0.0,0.0,279076.00070510656 
 08/01  01:45:00,24.949999999999997,29.440081077879684,29.440060857304095,26.55012215003217,29.410656893366299,29.44008244675566,21.821872812919716,29.44,29.44,29.44,29.44,29.44,0.0,581028.1729772739,339842.9962693539,0.0,0.0,274637.8308653923 
 08/01  02:00:00,24.9,29.440082762969856,29.44006019453348,26.546214102661219,29.409023234951929,29.44008168988826,21.569767984970757,29.44,29.44,29.44,29.44,29.44,0.0,593754.8621779535,333140.2610526632,0.0,0.0,270358.6805363975 
 08/01  02:15:00,24.824999999999997,29.44008278948614,29.440058556780487,26.543040429512275,29.407701735288748,29.440079731327239,21.299995123837499,29.44,29.44,29.44,29.44,29.44,0.0,602964.0018114658,326544.81020369866,0.0,0.0,266303.6920792109 
 08/01  02:30:00,24.75,29.440081970104314,29.440056490659136,26.540435873678196,29.406554462711069,29.440077231805544,21.040984527738304,29.44,29.44,29.44,29.44,29.44,0.0,611475.0164761748,319917.4564449858,0.0,0.0,262239.3612469357 
